2023-04-12 02:34:29 [JavaFX Application Thread] ERROR c.z.j.c.SettingsConfig - API服务器请求错误,请检查网络连接和服务器是否运行正常！
2023-04-12 04:06:02 [JavaFX Application Thread] ERROR c.z.j.f.p.g.s.securitySetting - ip校验失败！ null
2023-04-12 04:07:28 [JavaFX Application Thread] ERROR c.z.j.f.p.g.s.securitySetting - ip校验失败！ null
2023-04-12 05:12:06 [JavaFX Application Thread] ERROR c.z.j.f.p.g.s.securitySetting - ip校验失败！ null
2023-04-12 05:12:17 [JavaFX Application Thread] ERROR c.z.j.f.p.g.s.securitySetting - ip校验失败！ null
2023-04-12 05:20:13 [JavaFX Application Thread] ERROR c.z.j.f.p.g.s.securitySetting - ip校验失败！ null
2023-04-12 05:46:56 [JavaFX Application Thread] ERROR c.z.j.f.p.g.s.securitySetting - ip校验失败！ null
2023-04-12 05:46:59 [JavaFX Application Thread] ERROR c.z.j.f.p.g.s.securitySetting - ip校验失败！ null
2023-04-12 05:58:47 [JavaFX Application Thread] ERROR c.z.j.f.p.g.s.securitySetting - ip校验失败！ null
2023-04-12 05:59:05 [JavaFX Application Thread] ERROR c.z.j.f.p.g.s.securitySetting - ip校验失败！ null
2023-04-12 06:09:50 [JavaFX Application Thread] ERROR c.z.j.f.p.g.s.securitySetting - ip校验失败！ null
2023-04-12 06:10:07 [JavaFX Application Thread] ERROR c.z.j.f.p.g.s.securitySetting - ip校验失败！ null
2023-04-12 06:10:09 [JavaFX Application Thread] ERROR c.z.j.f.p.g.s.securitySetting - ip校验失败！ null
2023-04-12 06:11:23 [JavaFX Application Thread] ERROR c.z.j.f.p.g.s.securitySetting - ip校验失败！ null
2023-04-12 06:11:37 [JavaFX Application Thread] ERROR c.z.j.f.p.g.s.securitySetting - ip校验失败！ null
2023-04-12 06:13:15 [JavaFX Application Thread] ERROR c.z.j.f.p.g.s.securitySetting - ip校验失败！ null
2023-04-12 06:13:25 [JavaFX Application Thread] ERROR c.z.j.f.p.g.s.securitySetting - ip校验失败！ null
2023-04-12 06:13:51 [JavaFX Application Thread] ERROR c.z.j.f.p.g.s.securitySetting - ip校验失败！ www.baodu.com
2023-04-12 06:14:12 [JavaFX Application Thread] ERROR c.z.j.f.p.g.s.securitySetting - ip校验失败！ 127.a.1.1
2023-04-12 06:14:27 [JavaFX Application Thread] ERROR c.z.j.f.p.g.s.securitySetting - ip校验失败！ 127.e.1.1
2023-04-12 07:11:46 [JavaFX Application Thread] ERROR c.z.j.f.p.g.s.securitySetting - ip校验失败！ null
2023-04-12 07:28:01 [JavaFX Application Thread] ERROR c.z.j.f.p.g.s.securitySetting - ip校验失败！ 192.168.31.111a
2023-04-12 07:39:10 [JavaFX Application Thread] ERROR c.z.j.f.p.g.s.securitySetting - ip校验失败！ null
